Data,Preco,Titulo,Produto
2025-01-01,999.0,Título do Produto Teste,
2025-02-01,950.0,Título do Produto Teste,
2025-03-01,900.0,Título do Produto Teste,
2025-11-25,4364.0,,Título Desconhecido
2025-11-25,362.0,,Título Desconhecido
2025-11-25,699.0,,Título Desconhecido
2025-11-25,4849.0,,Título Desconhecido
2025-11-25,246.0,,Título Desconhecido
2025-11-25,16.0,,Título Desconhecido
2025-11-25,246.0,,Título Desconhecido
2025-11-25,234.0,,Título Desconhecido
2025-11-25,16.0,,Título Desconhecido
2025-11-25,246.0,,Título Desconhecido
2025-11-25,16.0,,Título Desconhecido
2025-11-25,4849.0,,Título Desconhecido
2025-11-25,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-25,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-25,35.75,,Travesseiro Nasa Visco Elástico 50x70 Antialergico Antiácaro Comfort Nasa
2025-11-25,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-25,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-25,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-25,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-25,35.75,,Travesseiro Nasa Visco Elástico 50x70 Antialergico Antiácaro Comfort Nasa
2025-11-25,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-25,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-25,362.0,,Título Desconhecido
2025-11-25,234.0,,Título Desconhecido
2025-11-25,4849.0,,Título Desconhecido
2025-11-25,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-25,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-25,35.75,,Travesseiro Nasa Visco Elástico 50x70 Antialergico Antiácaro Comfort Nasa
2025-11-25,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-25,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-25,246.0,,Echo Pop (Geração mais recente) | Smart speaker compacto com som envolvente e Alexa | Cor Preta
2025-11-25,362.0,,Echo Dot (Geração mais recente) | O Echo Dot com o melhor som já lançado | Cor Preta
2025-11-25,246.0,,Echo Pop (Geração mais recente) | Smart speaker compacto com som envolvente e Alexa | Cor Preta
2025-11-25,16.0,,Pilha Alcalina AAA com 8 unidades Elgin Palito
2025-11-25,4849.0,,Apple iPhone 16 (128 GB) – Preto
2025-11-25,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-25,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-25,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-25,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-25,297.23,,Conjunto de Gabinete Banheiro 80cm com Cuba e Espelheira -
2025-11-25,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-25,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-25,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-25,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-25,297.23,,Conjunto de Gabinete Banheiro 80cm com Cuba e Espelheira -
2025-11-25,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-25,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-25,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-25,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-25,297.23,,Conjunto de Gabinete Banheiro 80cm com Cuba e Espelheira -
2025-11-25,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-25,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-25,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-25,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-25,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-25,297.23,,Conjunto de Gabinete Banheiro 80cm com Cuba e Espelheira -
2025-11-25,1499.99,,"Smart TV 43"" LED AIWA BL-02-A 2 HDMI 2 USB Processador Quad Core - Preto"
2025-11-25,1099.0,,"Smart TV 32"" LED AIWA BL-02-A 2 HDMI 2 USB"
2025-11-25,949.0,,Smart TV 32” Philco PTV32G23AGSSBLH Android TV LED Wi-Fi 2 HDMI 2 USB
2025-11-25,1499.99,,"Smart TV 43"" Philco Android TV Full HD Borda Infinita"
2025-11-25,949.0,,"Smart TV LED 32"" Philco PTV32G7 Roku TV Dolby Audio 2 HDMI 1 USB - Prata"
2025-11-25,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-25,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-25,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-25,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-25,297.23,,Conjunto de Gabinete Banheiro 80cm com Cuba e Espelheira -
2025-11-25,1499.99,,"Smart TV 43"" LED AIWA BL-02-A 2 HDMI 2 USB Processador Quad Core - Preto"
2025-11-25,1099.0,,"Smart TV 32"" LED AIWA BL-02-A 2 HDMI 2 USB"
2025-11-25,949.0,,Smart TV 32” Philco PTV32G23AGSSBLH Android TV LED Wi-Fi 2 HDMI 2 USB
2025-11-25,1499.99,,"Smart TV 43"" Philco Android TV Full HD Borda Infinita"
2025-11-25,949.0,,"Smart TV LED 32"" Philco PTV32G7 Roku TV Dolby Audio 2 HDMI 1 USB - Prata"
2025-11-25,1499.99,,"Smart TV 43"" LED AIWA BL-02-A 2 HDMI 2 USB Processador Quad Core - Preto"
2025-11-25,1099.0,,"Smart TV 32"" LED AIWA BL-02-A 2 HDMI 2 USB"
2025-11-25,949.0,,Smart TV 32” Philco PTV32G23AGSSBLH Android TV LED Wi-Fi 2 HDMI 2 USB
2025-11-25,1499.99,,"Smart TV 43"" Philco Android TV Full HD Borda Infinita"
2025-11-25,949.0,,"Smart TV LED 32"" Philco PTV32G7 Roku TV Dolby Audio 2 HDMI 1 USB - Prata"
2025-11-25,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-25,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-25,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-25,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-25,297.23,,Conjunto de Gabinete Banheiro 80cm com Cuba e Espelheira -
2025-11-25,1499.99,,"Smart TV 43"" LED AIWA BL-02-A 2 HDMI 2 USB Processador Quad Core - Preto"
2025-11-25,949.0,,Smart TV 32” Philco PTV32G23AGSSBLH Android TV LED Wi-Fi 2 HDMI 2 USB
2025-11-25,949.0,,"Smart TV LED 32"" Philco PTV32G7 Roku TV Dolby Audio 2 HDMI 1 USB - Prata"
2025-11-25,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-25,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-25,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-25,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-25,297.23,,Conjunto de Gabinete Banheiro 80cm com Cuba e Espelheira -
2025-11-25,1499.99,,"Smart TV 43"" LED AIWA BL-02-A 2 HDMI 2 USB Processador Quad Core - Preto"
2025-11-25,949.0,,Smart TV 32” Philco PTV32G23AGSSBLH Android TV LED Wi-Fi 2 HDMI 2 USB
2025-11-25,949.0,,"Smart TV LED 32"" Philco PTV32G7 Roku TV Dolby Audio 2 HDMI 1 USB - Prata"
2025-11-26,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-26,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-26,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-26,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-26,297.23,,Conjunto de Gabinete Banheiro 80cm com Cuba e Espelheira -
2025-11-26,1499.99,,"Smart TV 43"" LED AIWA BL-02-A 2 HDMI 2 USB Processador Quad Core - Preto"
2025-11-26,949.0,,Smart TV 32” Philco PTV32G23AGSSBLH Android TV LED Wi-Fi 2 HDMI 2 USB
2025-11-26,949.0,,"Smart TV LED 32"" Philco PTV32G7 Roku TV Dolby Audio 2 HDMI 1 USB - Prata"
2025-11-26,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-26,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-26,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-26,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-26,297.23,,Conjunto de Gabinete Banheiro 80cm com Cuba e Espelheira -
2025-11-26,1499.99,,"Smart TV 43"" LED AIWA BL-02-A 2 HDMI 2 USB Processador Quad Core - Preto"
2025-11-26,949.0,,Smart TV 32” Philco PTV32G23AGSSBLH Android TV LED Wi-Fi 2 HDMI 2 USB
2025-11-26,949.0,,"Smart TV LED 32"" Philco PTV32G7 Roku TV Dolby Audio 2 HDMI 1 USB - Prata"
2025-11-26,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-26,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-26,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-26,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-26,297.23,,Conjunto de Gabinete Banheiro 80cm com Cuba e Espelheira -
2025-11-26,1499.99,,"Smart TV 43"" LED AIWA BL-02-A 2 HDMI 2 USB Processador Quad Core - Preto"
2025-11-26,949.0,,Smart TV 32” Philco PTV32G23AGSSBLH Android TV LED Wi-Fi 2 HDMI 2 USB
2025-11-26,949.0,,"Smart TV LED 32"" Philco PTV32G7 Roku TV Dolby Audio 2 HDMI 1 USB - Prata"
2025-11-26,32.36,,Kit 3 Cestos Organizadores de Bambu Multiuso com Forro
2025-11-26,645.99,,Armário de Cozinha Compacta Rustic/Preto Emilly Pop Madesa XA
2025-11-26,671.49,,Conjunto Sala de Jantar Mesa Tampo de Madeira 6 Cadeiras Rustic/Crema/Bege Jaíne Madesa
2025-11-26,43.9,,Jogo De Frigideiras Francesas 3 Peças 14 18 24cm Preto Nacional
2025-11-26,297.23,,Conjunto de Gabinete Banheiro 80cm com Cuba e Espelheira -
2025-11-26,1499.99,,"Smart TV 43"" LED AIWA BL-02-A 2 HDMI 2 USB Processador Quad Core - Preto"
2025-11-26,949.0,,Smart TV 32” Philco PTV32G23AGSSBLH Android TV LED Wi-Fi 2 HDMI 2 USB
2025-11-26,949.0,,"Smart TV LED 32"" Philco PTV32G7 Roku TV Dolby Audio 2 HDMI 1 USB - Prata"
